param_learning_rate,param_max_depth,param_n_estimators,param_num_leaves,mean_test_score,std_test_score,rank_test_score
0.1,6,500,31,0.7093678379702766,0.0012106622486544208,1
0.1,6,500,63,0.7083744308042741,0.0011307342363706158,2
0.1,6,300,31,0.7082797567726035,0.0011589565050810324,3
0.1,6,300,63,0.707576286772042,0.0013016351180169502,4
0.05,6,500,31,0.7071180746476621,0.0011263005873181366,5
0.05,6,500,63,0.7070490392209582,0.0010199285333952466,6
0.1,4,500,63,0.7067146810593125,0.0015111358139609302,7
0.1,4,500,31,0.7067146810593125,0.0015111358139609302,7
0.05,6,300,63,0.7048877889059731,0.0009922194832463797,9
0.05,6,300,31,0.7046086047552077,0.001298907387717446,10
0.1,4,300,63,0.7045857142400674,0.0014543865064077664,11
0.1,4,300,31,0.7045857142400674,0.0014543865064077664,11
0.05,4,500,63,0.7027550989596921,0.0013609373075786951,13
0.05,4,500,31,0.7027550989596921,0.0013609373075786951,13
0.05,4,300,63,0.6998007770506268,0.0014944974202193576,15
0.05,4,300,31,0.6998007770506268,0.0014944974202193576,15
0.01,6,500,63,0.6983066480224941,0.0010486106332431855,17
0.01,6,500,31,0.6978331050483728,0.0011689761324959142,18
0.01,6,300,63,0.6967315187531508,0.0009472136143209016,19
0.01,6,300,31,0.6961386710549725,0.0009677912509859423,20
0.01,4,500,31,0.6884941826196909,0.0019909607551526426,21
0.01,4,500,63,0.6884941826196909,0.0019909607551526426,21
0.01,4,300,31,0.6843297853822997,0.0017901379461107722,23
0.01,4,300,63,0.6843297853822997,0.0017901379461107722,23
