param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,mean_test_score,std_test_score,rank_test_score
0.7,10,0.01,1100,3,4,0.03,0.1,0.7,0.7131863021223026,0.0026147948908634383,1
0.9,20,0.001,1400,2,4,0.03,0.2,0.8,0.7131168545274201,0.002300165238109153,2
0.9,20,0.001,1100,3,4,0.03,0.0,0.7,0.7129547474181809,0.002412941391518456,3
0.9,20,0.05,1800,3,4,0.03,0.1,0.9,0.7127356722610401,0.0024512139202052,4
0.8,15,0.05,1800,4,3,0.05,0.1,0.9,0.7126609081601788,0.002523944200271535,5
0.9,7,0.1,700,5,4,0.05,0.0,0.9,0.7126126903348246,0.002338766257062347,6
0.9,20,0.01,1800,5,3,0.03,0.0,0.8,0.7124985793236198,0.002366777379251642,7
0.7,20,0.1,700,2,3,0.07,0.2,0.9,0.7124832452607895,0.002591872483545128,8
0.7,7,0.01,1100,6,3,0.07,0.2,0.8,0.7124435661696108,0.0025823212103140408,9
0.8,20,0.001,700,5,3,0.1,0.1,0.9,0.7124019478481962,0.002523130327238537,10
0.7,20,0.01,700,2,4,0.07,0.0,0.8,0.7123932447831507,0.0024777111427436976,11
0.7,10,0.01,700,3,3,0.07,0.0,0.9,0.7123919754037183,0.0026373613141795127,12
0.9,20,0.05,900,5,3,0.07,0.0,0.8,0.7123661757043513,0.002308913503477482,13
0.7,20,0.01,1400,2,3,0.03,0.2,0.9,0.7123657005425525,0.002354158610000382,14
0.9,7,0.05,700,3,4,0.07,0.2,0.9,0.7123187122203536,0.0020977919349780857,15
0.7,10,0.1,1400,3,3,0.03,0.05,0.7,0.7122732863056019,0.0024574767131737172,16
0.9,7,0.01,700,4,4,0.03,0.2,0.8,0.7121167113361118,0.002320634830396206,17
0.8,10,0.05,1400,6,3,0.03,0.05,0.9,0.7121106065432311,0.0024094175588105396,18
0.9,7,0.001,900,3,3,0.1,0.1,0.7,0.7120406026892971,0.002483307923926729,19
0.8,15,0.05,700,4,3,0.05,0.0,0.7,0.711659435540323,0.00258728866071528,20
0.7,15,0.05,1400,4,3,0.1,0.05,0.8,0.7112979495559957,0.0026390142181109875,21
0.8,20,0.01,1400,5,2,0.1,0.2,0.7,0.7112499600059179,0.0023778499218639073,22
0.8,7,0.01,1800,5,2,0.07,0.0,0.8,0.7112224609119427,0.0022249736967946535,23
0.9,20,0.01,1400,6,2,0.1,0.2,0.8,0.7111130142180161,0.002154036955365864,24
0.7,15,0.001,700,4,4,0.1,0.2,0.7,0.7107737512352258,0.0025623622766451446,25
0.8,20,0.1,1800,3,3,0.1,0.05,0.8,0.710471286365013,0.0024591211034456465,26
0.7,7,0.1,900,3,2,0.1,0.0,0.9,0.7104368709545307,0.00212692999022069,27
0.9,10,0.1,1100,2,2,0.07,0.0,0.9,0.7099999919680307,0.002094861513212149,28
0.9,10,0.05,1100,2,2,0.07,0.0,0.8,0.7099997312476326,0.0021280427453279883,29
0.7,20,0.001,900,4,2,0.07,0.05,0.9,0.7097054725765597,0.002128229055798105,30
0.7,20,0.001,1100,2,4,0.1,0.05,0.8,0.7089221107823008,0.002379721714364056,31
0.9,20,0.01,1100,6,2,0.05,0.0,0.9,0.7088559959600399,0.0020113609495913316,32
0.8,15,0.1,1800,2,4,0.07,0.0,0.8,0.7086827233564064,0.0023899626034517485,33
0.9,20,0.001,1800,5,2,0.03,0.05,0.9,0.7086490332063304,0.002015790607676414,34
0.9,15,0.01,700,2,2,0.07,0.0,0.8,0.7082834212464174,0.002153511668118456,35
0.7,15,0.01,900,4,2,0.05,0.0,0.9,0.7081271891837044,0.001949591699446316,36
0.7,20,0.1,1100,3,2,0.03,0.05,0.9,0.7066881567635365,0.002195040320395304,37
0.7,15,0.1,1100,6,2,0.03,0.1,0.8,0.7066256850747238,0.002120724236948517,38
0.7,7,0.001,900,6,2,0.03,0.05,0.9,0.7054549002311502,0.0020649903923811055,39
0.8,7,0.001,900,5,2,0.03,0.0,0.7,0.7050416066645355,0.0023345180539711776,40
